Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Craig Hodges,28,801,282,,56,94,24,3,122,234,49,.521,,,,38,.776
Lionel Hollins,27,840,467,,102,84,,,194,401,120,.484,,,,79,.658
Phil Hubbard,32,,482,,352,36,,,208,381,113,.546,,,,66,.584
Geoff Huston,31,557,218,,42,,,,91,194,54,.469,,,,36,.667
Marc Iavaroni,25,846,271,,198,19,,,105,213,83,.493,,,,61,.735
Dan Issel*,20,,416,,355,,,,168,332,111,.506,,,,80,.721
Tracy Jackson,28,378,158,,91,33,,,66,120,40,.550,,,,26,.650
Clay Johnson,29,,381,,230,23,,,142,247,141,.575,,,,97,.688
Clemon Johnson,25,,249,,302,,,,113,233,45,.485,,,,23,.511
Dennis Johnson*,27,930,425,,156,66,,,181,378,112,.479,,,,63,.563
Eddie Johnson,26,,567,,105,75,57,,231,538,130,.429,,,,105,.808
Eddie Johnson,27,469,220,,84,16,11,8,100,234,27,.427,,,,20,.741
Frank Johnson,30,1044,348,,84,74,46,3,150,328,69,.457,,,,48,.696
George Johnson,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
George Johnson,31,,313,,290,34,,,139,263,54,.529,,,,35,.648
Magic Johnson*,30,,511,,237,222,,,175,382,205,.458,,,,161,.785
Marques Johnson,27,,194,,90,24,,,83,131,38,.634,,,,28,.737
Mickey Johnson,22,,595,,419,,,,252,438,148,.575,,,,91,.615
Reggie Johnson,28,,308,,227,17,,,131,203,61,.645,,,,46,.754
Steve Johnson,28,616,379,,156,9,,,159,267,91,.596,,,,61,.670
Vinnie Johnson,25,,575,,140,149,,,241,481,141,.501,,,,93,.660
Jim Johnstone,27,700,220,,144,16,7,11,96,169,49,.568,,,,28,.571
Bobby Jones*,16,,358,,236,,,,136,237,113,.574,,,,86,.761
Caldwell Jones,25,,450,,440,,,,185,367,108,.504,,,,80,.741
Dwight Jones,15,,326,,304,,,,127,261,97,.487,,,,72,.742
Edgar Jones,26,,457,,261,8,,,181,348,135,.520,,,,95,.704
Hutch Jones,21,420,150,,145,,,,60,135,47,.444,,,,30,.638
Major Jones,29,,565,,456,,,,252,488,100,.516,,,,61,.610
Eddie Jordan,26,,288,,82,,,,124,278,56,.446,,,,40,.714
Jeff Judkins,24,349,101,,93,27,,,35,80,37,.438,,,,31,.838
Rich Kelley,17,,308,,284,,,,112,241,120,.465,,,,84,.700
Clark Kellogg,29,938,335,,232,76,35,18,136,313,79,.435,,,,63,.797
Greg Kelser,27,,316,,260,32,,,136,263,78,.517,,,,44,.564
Larry Kenon,30,1097,603,,501,,,,273,520,100,.525,,,,57,.570
Albert King,28,781,381,,187,64,21,11,164,327,82,.502,,,,53,.646
Bernard King*,25,,661,,308,39,,,273,439,147,.622,,,,115,.782
Reggie King,28,901,306,,265,41,17,18,122,250,113,.488,,,,62,.549
Billy Knight,24,,505,,276,56,,,205,381,131,.538,,,,95,.725
Joe Kopicki,26,395,97,,95,15,12,5,37,102,39,.363,,,,23,.590
Joel Kramer,14,,29,,24,4,,,10,19,13,.526,,,,9,.692
Sam Lacey,20,,379,,405,,,,160,386,88,.415,,,,59,.670
Bill Laimbeer,10,190,82,,79,10,,,32,65,23,.492,,,,18,.783
Jeff Lamp,28,930,485,,124,56,18,2,156,382,205,.408,,,,173,.844
Mark Landsberger,26,,398,,200,,,,165,358,98,.461,,,,68,.694
Bob Lanier*,15,,450,,,,,,,,,,,,,,
Allen Leavell,24,,75,,21,,,,30,84,23,.357,,,,15,.652
Ronnie Lester,27,,363,,66,98,,,140,312,119,.449,,,,83,.697
Fat Lever,29,377,104,,44,51,29,3,38,92,38,.413,,,,28,.737
Cliff Levingston,29,914,457,,294,44,,32,189,346,127,.546,,,,79,.622
Steve Lingenfelter,14,,24,,31,3,,,8,23,12,.348,,,,8,.667
Alton Lister,29,584,255,,194,25,13,44,104,209,84,.498,,,,47,.560
Lewis Lloyd,27,1022,815,,406,76,,,324,585,236,.554,,,,167,.708
Scott Lloyd,14,437,274,,136,,,,100,204,95,.490,,,,74,.779
Kevin Loder,27,545,263,,143,,,,112,187,49,.599,,,,39,.796
John Long,26,654,445,,168,26,,,200,419,58,.477,,,,45,.776
John Lucas,30,,425,,83,178,,,190,353,64,.538,,,,45,.703
Maurice Lucas,17,,487,,286,,,,203,345,112,.588,,,,81,.723
Rudy Macklin,26,869,385,,306,26,,,161,310,102,.519,,,,63,.618
Kyle Macy,27,833,373,,75,88,,,144,293,99,.491,,,,85,.859
Dave Magley,25,303,93,,64,,,,39,111,24,.351,,,,15,.625
Rick Mahorn,28,,159,,168,27,,,65,159,44,.409,,,,29,.659
Moses Malone*,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Wes Matthews,14,408,203,,47,31,18,3,83,197,52,.421,,,,37,.712
Cedric Maxwell,26,,237,,161,,,,98,154,77,.636,,,,41,.532
Scott May,28,664,351,,150,41,,,154,313,56,.492,,,,43,.768
Bob McAdoo*,31,,604,,312,72,,,243,471,167,.516,,,,118,.707
Hank McDowell,14,88,26,,15,,,,9,14,11,.643,,,,8,.727
Mike McGee,27,890,531,,132,39,16,4,217,439,122,.494,,,,97,.795
Kevin McHale*,27,,324,,218,38,,52,133,241,77,.552,,,,58,.753
Billy McKinney,24,861,378,,85,36,,,165,348,60,.474,,,,48,.800
Tom McMillen,16,,469,,247,,,,178,285,125,.625,,,,113,.904
Mark McNamara,29,,332,,197,25,,,143,229,98,.624,,,,46,.469
Joe Meriweather,14,,301,,211,,,,122,188,88,.649,,,,57,.648
Mike Mitchell,25,,461,,286,15,31,,204,426,98,.479,,,,53,.541
Steve Mix,19,,308,,224,,,,122,228,108,.535,,,,64,.593
Paul Mokeski,18,474,191,,115,18,15,17,82,170,37,.482,,,,27,.730
Sidney Moncrief*,28,,354,,213,59,,,149,224,77,.665,,,,56,.727
Johnny Moore,26,,353,,61,,,,154,353,61,.436,,,,45,.738
Lowes Moore,28,384,139,,63,42,,,57,132,45,.432,,,,25,.556
Guy Morgan,27,624,243,,171,8,23,43,89,156,98,.571,,,,65,.663
Calvin Murphy*,19,,929,,102,,,,364,719,239,.506,,,,201,.841
Larry Nance,25,273,78,,78,21,10,8,35,75,17,.467,,,,8,.471
Swen Nater,29,,194,,139,,,,83,155,46,.535,,,,28,.609
Calvin Natt,25,,516,,274,,,,207,371,129,.558,,,,102,.791
Kenny Natt,27,,167,,62,,,,68,174,42,.391,,,,31,.738
Ed Nealy,28,842,286,,230,47,28,3,115,266,71,.432,,,,56,.789
Chuck Nevitt,19,,24,,25,1,1,11,10,20,15,.500,,,,4,.267
Carl Nicks,24,167,53,,26,,34,,20,54,27,.370,,,,13,.481
Kurt Nimphius,18,76,27,,28,0,,,10,19,12,.526,,,,7,.583
Norm Nixon,24,,257,,99,144,,,113,257,45,.440,,,,31,.689
Audie Norris,27,,391,,235,,,,148,270,149,.548,,,,95,.638
Mike O'Koren,33,,458,,217,60,48,7,172,298,157,.577,,,,114,.726
Mark Olberding,26,,415,,214,,,,156,296,144,.527,,,,103,.715
Jawann Oldham,27,,321,,212,,,,145,300,51,.483,,,,31,.608
Louis Orr,30,,282,,194,52,,,105,186,96,.565,,,,72,.750
Tom Owens,14,,336,,246,,,,147,,,,,,,42,
Robert Parish*,27,885,620,,505,25,,,285,492,82,.579,,,,50,.610
Billy Paultz,25,,238,,126,,,,102,214,40,.477,,,,34,.850
Jim Paxson,27,1061,353,,127,,,,149,308,73,.484,,,,55,.753
Sam Pellom,25,,287,,275,,,,127,251,78,.506,,,,33,.423
Roger Phegley,26,,211,,105,22,,,76,148,76,.514,,,,59,.776
Eddie Phillips,33,1001,477,,245,15,35,15,201,334,108,.602,,,,75,.694
Ricky Pierce,26,878,498,,214,37,17,8,202,421,131,.480,,,,94,.718
Charles Pittman,31,553,158,,115,13,15,19,63,94,50,.670,,,,32,.640
Ben Poquette,25,,144,,138,22,23,27,61,130,41,.469,,,,22,.537
Kevin Porter,5,,54,,4,,,,21,42,15,.500,,,,12,.800
Paul Pressey,33,1050,340,,178,172,96,26,137,288,114,.476,,,,66,.579
Mark Radford,27,818,286,,56,97,30,1,119,239,65,.498,,,,48,.738
Ed Rains,28,676,189,,126,29,,6,74,184,65,.402,,,,41,.631
Kurt Rambis,27,,403,,313,39,,,167,317,125,.527,,,,70,.560
Kelvin Ransey,25,789,327,,84,69,21,10,149,365,37,.408,,,,29,.784
James Ray,28,,316,,164,19,,,131,265,91,.494,,,,54,.593
Clint Richardson,26,,481,,192,58,,,205,416,101,.493,,,,71,.703
Micheal Ray Richardson,29,,218,,104,,,,92,188,58,.489,,,,34,.586
Rick Robey,31,616,321,,214,16,,,135,248,63,.544,,,,51,.810
Cliff Robinson,24,724,442,,231,47,,,191,367,100,.520,,,,60,.600
Oliver Robinson,26,584,180,,92,,,,73,147,56,.497,,,,34,.607
Truck Robinson,26,,317,,228,,,,131,253,96,.518,,,,55,.573
Dave Robisch,8,,212,,123,,,,79,161,91,.491,,,,54,.593
Tree Rollins,26,,322,,316,8,,106,144,265,54,.543,,,,34,.630
Lorenzo Romar,27,535,163,,38,,,,66,130,43,.508,,,,31,.721
Dan Roundfield,16,,311,,202,,,,133,192,81,.693,,,,45,.556
Jeff Ruland,26,884,580,,332,43,21,36,228,384,180,.594,,,,124,.689
Walker Russell,8,186,78,,19,35,5,1,34,73,20,.466,,,,10,.500
Mike Sanders,23,138,43,,35,4,3,5,16,38,16,.421,,,,11,.688
Danny Schayes,24,,112,,96,11,,,39,69,45,.565,,,,34,.756
Russ Schoene,28,457,202,,113,8,8,12,80,154,57,.519,0,0,,42,.737
Alvin Scott,4,,5,,6,,,,1,4,4,.250,,,,3,.750
Lonnie Shelton,26,,318,,204,53,,,135,260,75,.519,,,,48,.640
Ed Sherod,29,968,299,,68,,,,122,258,87,.473,,,,55,.632
Purvis Short,28,,424,,218,,,,190,325,66,.585,,,,44,.667
Jerry Sichting,27,436,165,,42,61,,,67,123,38,.545,,,,31,.816
Jack Sikma*,21,,324,,223,,,,148,306,37,.484,,,,28,.757
Jose Slaughter,28,775,411,,90,53,25,10,167,352,117,.474,,,,77,.658
Derek Smith,32,622,313,,153,30,14,15,117,185,123,.632,,,,79,.642
Jim Smith,27,624,164,,140,11,15,39,68,148,59,.459,,,,28,.475
Larry Smith,34,,498,,222,,,,212,402,124,.527,,,,74,.597
Phil Smith,22,,367,,195,,,,145,289,113,.502,,,,77,.681
Randy Smith,19,,467,,290,,,,190,,,,,,,87,
Robert Smith,29,659,274,,36,93,,,110,213,66,.516,,,,54,.818
Ricky Sobers,25,,332,,95,103,,,140,303,67,.462,,,,52,.776
Jim Spanarkel,23,,307,,101,65,,,120,219,97,.548,,,,67,.691
Rory Sparrow,33,,232,,69,,,,99,193,42,.513,,,,34,.810
Larry Spriggs,28,,435,,272,,,,178,369,115,.482,,,,60,.522
Brook Steppe,26,346,169,,35,21,16,3,57,113,67,.504,,,,55,.821
Jeff Taylor,30,650,219,,83,22,22,10,88,190,59,.463,,,,43,.729
Vince Taylor,30,,115,,31,17,,,49,90,31,.544,,,,17,.548
Terry Teagle,28,874,408,,183,47,28,11,164,310,113,.529,,,,80,.708
Carlos Terry,30,,373,,311,,,,159,311,78,.511,,,,55,.705
Reggie Theus,31,496,184,,53,139,18,,68,163,60,.417,,,,48,.800
David Thirdkill,33,1112,440,,165,83,30,,181,427,123,.424,,,,78,.634
Isiah Thomas*,29,986,423,,116,159,62,7,154,302,149,.510,,,,115,.772
Corny Thompson,29,991,538,,289,53,45,,190,401,198,.474,,,,158,.798
David Thompson*,16,,569,,217,,,,214,386,179,.554,,,,141,.788
LaSalle Thompson,30,971,383,,292,13,6,36,153,274,103,.558,,,,77,.748
Mychal Thompson,23,,287,,176,,,,114,215,78,.530,,,,59,.756
Darren Tillis,25,,237,,173,15,,,103,196,54,.526,,,,31,.574
Ray Tolbert,29,899,292,,201,21,25,39,121,269,77,.450,,,,50,.649
Andrew Toney,29,933,608,,89,,,,253,489,133,.517,,,,102,.767
Linton Townes,26,765,302,,109,49,23,9,138,245,35,.563,,,,26,.743
Kelly Tripucka,31,643,362,,161,39,,,141,247,108,.571,,,,80,.741
Trent Tucker,25,,247,,85,24,29,,114,239,32,.477,,,,19,.594
Elston Turner,27,936,269,,210,64,46,5,113,268,65,.422,,,,43,.662
Terry Tyler,26,629,220,,182,16,,,98,184,47,.533,,,,24,.511
Darnell Valentine,29,761,392,,82,130,80,5,143,297,143,.481,,,,106,.741
Jan van Breda Kolff,21,,254,,175,,,,85,185,105,.459,,,,84,.800
Kiki Vandeweghe,23,230,82,,41,23,,,35,70,17,.500,,,,12,.706
Pete Verhoeven,20,,30,,23,3,,,11,26,12,.423,,,,8,.667
Jay Vincent,29,754,329,,110,30,10,12,137,239,86,.573,,,,55,.640
Danny Vranes,29,851,355,,210,51,,,145,265,113,.547,,,,65,.575
Foots Walker,28,,564,,232,,,,226,450,148,.502,,,,112,.757
Wally Walker,23,662,316,,156,15,,,139,247,48,.563,,,,38,.792
Bill Walton*,20,,362,,321,,,,155,266,82,.583,,,,52,.634
Bryan Warrick,24,217,78,,23,18,12,2,31,77,24,.403,,,,16,.667
Marvin Webster,26,,342,,419,,,,125,276,134,.453,,,,92,.687
Scott Wedman,10,,175,,,,,,66,,53,,,,,46,.868
Paul Westphal*,19,,355,,106,,,,134,262,119,.511,,,,87,.731
Rory White,28,538,227,,122,7,,13,97,180,52,.539,,,,33,.635
Jerome Whitehead,29,766,259,,186,19,,,111,211,56,.526,,,,37,.661
Bob Wilkerson,28,400,102,,74,33,,,45,112,22,.402,,,,12,.545
Jamaal Wilkes*,20,,400,,242,,,,166,267,95,.622,,,,68,.716
James Wilkes,20,99,18,,21,9,,,7,23,6,.304,,,,4,.667
