Names,PER
Russell Westbrook,22.2
Coby White,12.2
Derrick White,15.3
Jack White,12.6
Joe Wieskamp,5.6
Aaron Wiggins,11.3
Andrew Wiggins,14.8
Lindell Wigginton,10.7
Alondes Williams,-20.9
Donovan Williams,14.5
Grant Williams,9.7
Jalen Williams,15.6
Jaylin Williams,11.2
Jeenathan Williams,15.5
Kenrich Williams,12.2
Mark Williams,19.8
Patrick Williams,11.1
Robert Williams,22.3
Vince Williams Jr.,3.9
Ziaire Williams,9.0
Zion Williamson,26.0
Dylan Windler,9.9
Justise Winslow,10.3
James Wiseman,14.4
Christian Wood,20.4
Delon Wright,15.6
McKinley Wright IV,12.3
Gabe York,12.1
Thaddeus Young,16.4
Trae Young,22.2
Omer Yurtseven,17.3
Cody Zeller,16.2
Ivica Zubac,18.6
