Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Jayson Tatum,19.7,24,/players/t/tatumja01.html,29,966,488,213,62,39,33,165,365,139,.452,40,117,.342,118,.849
Terry Taylor,16.8,23,/players/t/taylote01.html,34,1070,530,291,25,20,34,196,362,137,.541,38,88,.432,100,.730
Dalen Terry,14.1,20,/players/t/terryda01.html,26,539,119,83,38,19,10,39,94,44,.415,14,43,.326,27,.614
Cam Thomas,13.1,21,/players/t/thomaca02.html,29,986,668,98,42,25,6,203,500,220,.406,68,209,.325,194,.882
JT Thor,7.6,20,/players/t/thorjt01.html,27,622,253,136,23,22,37,84,191,85,.440,22,74,.297,63,.741
Matisse Thybulle,10.5,25,/players/t/thybuma01.html,34,819,211,109,55,39,32,71,179,49,.397,34,93,.366,35,.714
Xavier Tillman Sr.,15.8,24,/players/t/tillmxa01.html,35,305,99,92,10,9,23,39,60,32,.650,0,0,0,21,.656
Obi Toppin,15.4,24,/players/t/toppiob01.html,33,873,475,186,61,21,28,201,302,87,.666,11,21,.524,62,.713
Juan Toscano-Anderson,10.6,29,/players/t/toscaju01.html,24,109,16,20,4,4,1,5,13,9,.385,0,0,0,6,.667
Karl-Anthony Towns,24.4,27,/players/t/townska01.html,39,822,401,261,44,18,88,145,256,134,.566,2,8,.250,109,.813
Gary Trent Jr.,13.7,24,/players/t/trentga02.html,37,1253,536,157,52,43,5,177,427,97,.415,97,241,.402,85,.876
Myles Turner,17.2,26,/players/t/turnemy01.html,34,755,345,222,20,10,89,117,257,112,.455,17,62,.274,94,.839
Stanley Umude,65.6,23,/players/u/umudest01.html,37,1028,440,171,41,37,30,162,352,87,.460,53,143,.371,63,.724
Jarred Vanderbilt,15.3,23,/players/v/vandeja01.html,14,238,82,110,14,6,11,29,68,38,.426,0,1,.000,24,.632
Fred VanVleet,16.2,28,/players/v/vanvlfr01.html,39,630,167,72,89,35,2,59,153,40,.386,20,49,.408,29,.725
Devin Vassell,13.2,22,/players/v/vassede01.html,33,353,149,51,21,18,10,52,119,28,.437,26,62,.419,19,.679
Gabe Vincent,9.2,26,/players/v/vincega01.html,28,733,284,60,60,24,4,97,229,50,.424,57,137,.416,33,.660
Noah Vonleh,11.8,27,/players/v/vonleno01.html,30,794,338,269,18,26,41,113,216,134,.523,16,33,.485,96,.716
Dean Wade,10.2,26,/players/w/wadede01.html,33,871,328,168,37,20,17,111,256,122,.434,26,89,.292,80,.656
Franz Wagner,15.3,21,/players/w/wagnefr01.html,27,831,312,151,27,34,16,113,250,54,.452,41,132,.311,45,.833
Moritz Wagner,15.4,25,/players/w/wagnemo01.html,30,258,86,48,4,6,6,37,61,18,.607,2,12,.167,10,.556
Ish Wainright,9.3,28,/players/w/wainris01.html,32,291,61,47,34,9,1,21,48,32,.438,3,10,.300,16,.500
Jabari Walker,9.6,20,/players/w/walkeja01.html,26,369,198,113,13,12,12,70,133,45,.526,23,44,.523,35,.778
Lonnie Walker IV,11.2,24,/players/w/walkelo01.html,32,888,368,83,61,30,15,132,318,65,.415,56,162,.346,48,.738
T.J. Warren,16.4,29,/players/w/warretj01.html,35,944,425,146,28,42,15,186,299,72,.622,14,27,.519,39,.542
Duane Washington Jr.,10.0,22,/players/w/washidu02.html,35,600,245,87,37,10,0,91,246,34,.370,41,134,.306,22,.647
P.J. Washington,13.1,24,/players/w/washipj01.html,37,1012,401,211,57,28,31,135,260,208,.519,5,21,.238,126,.606
TyTy Washington Jr.,7.5,21,/players/w/washity02.html,31,905,388,107,120,40,6,152,337,64,.451,36,103,.350,48,.750
Yuta Watanabe,11.3,28,/players/w/watanyu01.html,35,787,260,124,22,15,21,86,224,59,.384,39,112,.348,49,.831
Lindy Waters III,12.4,25,/players/w/waterli01.html,23,367,131,42,19,14,1,46,93,28,.495,19,43,.442,20,.714
Trendon Watford,14.5,22,/players/w/watfotr01.html,31,979,421,224,53,27,22,157,321,132,.489,18,67,.269,89,.674
Peyton Watson,12.8,20,/players/w/watsope01.html,32,405,105,92,26,19,19,38,118,32,.322,7,31,.226,22,.688
Blake Wesley,3.5,19,/players/w/weslebl01.html,35,1027,504,129,84,44,2,178,441,143,.404,54,178,.303,94,.657
Coby White,12.2,22,/players/w/whiteco01.html,35,999,562,124,143,38,11,188,444,130,.423,82,232,.353,104,.800
Derrick White,15.3,28,/players/w/whitede01.html,34,1116,615,139,148,42,49,205,404,182,.507,57,144,.396,148,.813
Jack White,12.6,25,/players/w/whiteja03.html,10,61,21,13,1,1,2,6,9,10,.667,1,2,.500,8,.800
Joe Wieskamp,5.6,23,/players/w/wieskjo01.html,35,971,388,172,39,31,16,125,256,103,.488,59,139,.424,79,.767
Aaron Wiggins,11.3,24,/players/w/wiggiaa01.html,34,798,282,113,27,26,6,97,252,30,.385,62,150,.413,26,.867
Andrew Wiggins,14.8,27,/players/w/wiggian01.html,35,1148,597,205,54,41,34,189,422,227,.448,43,126,.341,176,.775
Lindell Wigginton,10.7,24,/players/w/wiggili01.html,31,1022,518,116,88,28,13,171,413,162,.414,69,172,.401,107,.660
Alondes Williams,-20.9,23,/players/w/willial06.html,31,516,187,60,18,11,2,71,162,44,.438,17,60,.283,28,.636
Donovan Williams,14.5,21,/players/w/willido02.html,26,285,86,26,8,13,4,32,87,17,.368,10,41,.244,12,.706
Grant Williams,9.7,24,/players/w/willigr01.html,32,814,402,189,36,26,61,132,262,189,.504,12,32,.375,126,.667
Jalen Williams,15.6,21,/players/w/willija06.html,33,841,254,94,62,44,17,89,204,59,.436,31,88,.352,45,.763
Jaylin Williams,11.2,20,/players/w/willija07.html,26,414,96,121,21,12,18,33,69,31,.478,7,23,.304,23,.742
Kenrich Williams,12.2,28,/players/w/willike04.html,33,917,283,221,46,30,32,102,214,112,.477,11,31,.355,68,.607
Mark Williams,19.8,21,/players/w/willima07.html,23,350,164,103,17,13,32,71,107,41,.664,0,0,0,22,.537
Patrick Williams,11.1,21,/players/w/willipa01.html,29,653,268,116,29,29,30,95,207,74,.459,16,50,.320,62,.838
Robert Williams,22.3,25,/players/w/williro04.html,31,801,369,253,44,21,77,154,276,100,.558,2,18,.111,59,.590
Vince Williams Jr.,3.9,22,/players/w/willivi01.html,33,512,161,109,34,34,13,50,109,80,.459,6,25,.240,55,.688
Ziaire Williams,9.0,21,/players/w/willizi02.html,20,558,214,91,44,17,11,76,203,49,.374,23,79,.291,39,.796
Zion Williamson,26.0,22,/players/w/willizi01.html,33,990,746,293,68,70,59,296,435,203,.680,24,71,.338,130,.640
Dylan Windler,9.9,26,/players/w/windldy01.html,32,590,139,145,29,20,19,49,99,45,.495,11,46,.239,30,.667
Justise Winslow,10.3,26,/players/w/winslju01.html,39,1135,492,252,82,52,34,173,356,156,.486,46,110,.418,100,.641
James Wiseman,14.4,21,/players/w/wisemja01.html,3,69,59,32,1,1,9,20,26,27,.769,0,1,.000,19,.704
Christian Wood,20.4,27,/players/w/woodch01.html,30,390,135,97,10,10,29,48,117,35,.410,11,50,.220,28,.800
Delon Wright,15.6,30,/players/w/wrighde01.html,33,1202,513,224,174,82,43,174,310,193,.561,12,54,.222,153,.793
McKinley Wright IV,12.3,24,/players/w/wrighmc01.html,32,1042,454,149,175,31,14,166,368,122,.451,28,92,.304,94,.770
Gabe York,12.1,29,/players/y/yorkga01.html,15,87,36,5,9,2,0,13,32,4,.406,8,23,.348,2,.500
Trae Young,22.2,24,/players/y/youngtr01.html,32,1133,876,125,279,54,8,261,618,274,.422,118,328,.360,236,.861
Omer Yurtseven,17.3,24,/players/y/yurtsom01.html,22,416,130,96,26,4,16,53,116,32,.457,1,3,.333,23,.719
Cody Zeller,16.2,30,/players/z/zelleco01.html,36,1025,563,236,45,49,42,200,321,216,.623,0,0,0,163,.755
