Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Khem Birch,14.6,30,/players/b/birchkh01.html,10,150,44,50,0,2,19,16,28,22,.571,0,0,0,12,.545
Buddy Boeheim,0.5,23,/players/b/boehebu01.html,32,546,217,52,33,18,3,72,189,33,.381,47,133,.353,26,.788
Bol Bol,13.9,23,/players/b/bolbo01.html,9,268,189,86,9,7,24,74,132,37,.561,13,25,.520,28,.757
Devin Booker,18.4,26,/players/b/bookede01.html,38,816,381,76,42,17,2,135,287,64,.470,58,141,.411,53,.828
Brandon Boston Jr.,11.8,21,/players/b/bostobr01.html,25,759,287,112,40,33,4,103,290,65,.355,30,100,.300,51,.785
Chris Boucher,19.5,30,/players/b/bouchch01.html,38,981,459,280,15,30,110,159,295,149,.539,39,115,.339,102,.685
James Bouknight,7.7,22,/players/b/bouknja01.html,28,725,364,115,36,21,6,128,277,101,.462,25,72,.347,83,.822
Jamaree Bouyea,6.5,23,/players/b/bouyeja01.html,36,480,90,60,33,25,10,33,101,22,.327,9,39,.231,15,.682
Tony Bradley,19.3,25,/players/b/bradlto01.html,38,553,269,195,23,10,22,102,178,105,.573,0,0,0,65,.619
Malaki Branham,9.5,19,/players/b/branhma01.html,32,948,437,114,64,23,9,160,321,96,.498,37,89,.416,80,.833
Jarrell Brantley,13.9,26,/players/b/brantja01.html,31,880,364,227,40,40,14,134,290,116,.462,13,39,.333,83,.716
Christian Braun,10.3,21,/players/b/braunch01.html,31,569,163,90,15,21,7,56,130,26,.431,32,72,.444,19,.731
Mikal Bridges,14.4,26,/players/b/bridgmi01.html,40,813,254,128,35,42,26,86,165,75,.521,23,77,.299,59,.787
Oshae Brissett,12.6,24,/players/b/brissos01.html,37,1411,553,327,34,43,29,162,458,221,.354,55,166,.331,174,.787
Malcolm Brogdon,17.0,30,/players/b/brogdma01.html,28,626,188,78,38,14,3,63,159,50,.396,22,68,.324,40,.800
Dillon Brooks,10.9,27,/players/b/brookdi01.html,36,1020,413,176,65,18,20,150,329,103,.456,28,83,.337,85,.825
Bruce Brown,12.8,26,/players/b/brownbr01.html,33,1053,391,186,106,49,18,134,292,121,.459,33,95,.347,90,.744
Greg Brown III,10.4,21,/players/b/browngr01.html,26,535,243,161,10,15,26,81,193,72,.420,30,91,.330,51,.708
Jaylen Brown,16.4,26,/players/b/brownja02.html,34,939,498,182,68,27,22,163,378,217,.431,30,102,.294,142,.654
Kendall Brown,9.1,19,/players/b/brownke03.html,34,918,329,166,63,34,12,132,226,74,.584,14,41,.341,51,.689
Moses Brown,19.1,23,/players/b/brownmo01.html,32,748,311,266,9,19,62,133,219,128,.607,0,0,0,45,.352
Sterling Brown,10.0,27,/players/b/brownst02.html,37,719,161,139,40,27,11,60,128,42,.469,17,47,.362,24,.571
Troy Brown Jr.,11.0,23,/players/b/browntr01.html,35,1093,396,217,111,55,7,143,322,105,.444,32,110,.291,78,.743
Jalen Brunson,17.2,26,/players/b/brunsja01.html,40,959,383,70,100,28,0,126,279,106,.452,49,128,.383,82,.774
Thomas Bryant,20.0,25,/players/b/bryanth01.html,35,791,415,202,34,17,32,157,230,136,.683,5,15,.333,96,.706
Reggie Bullock,10.1,31,/players/b/bullore01.html,27,392,166,76,16,18,3,62,169,23,.367,29,98,.296,13,.565
Deonte Burton,5.2,29,/players/b/burtode02.html,32,402,222,69,17,35,14,87,182,68,.478,4,8,.500,44,.647
Jared Butler,12.2,22,/players/b/butleja02.html,34,910,348,106,93,33,3,117,296,68,.395,60,171,.351,54,.794
John Butler,5.7,20,/players/b/butlejo01.html,31,588,182,100,23,13,36,69,166,25,.416,33,84,.393,11,.440
Jamal Cain,16.5,23,/players/c/cainja01.html,34,584,155,114,22,28,12,59,122,23,.484,26,55,.473,11,.478
Kentavious Caldwell-Pope,11.9,29,/players/c/caldwke01.html,32,1028,422,166,38,58,11,152,384,81,.396,65,214,.304,53,.654
Vernon Carey Jr.,12.5,21,/players/c/careyve01.html,31,772,552,272,30,22,49,199,345,218,.577,8,21,.381,146,.670
Jevon Carter,10.6,27,/players/c/carteje01.html,35,832,285,82,62,67,3,95,264,61,.360,48,153,.314,47,.770
Wendell Carter Jr.,16.8,23,/players/c/cartewe01.html,37,997,501,335,74,30,76,179,319,168,.561,19,46,.413,124,.738
Michael Carter-Williams,13.5,31,/players/c/cartemi01.html,26,269,70,38,54,20,7,25,58,23,.431,7,18,.389,13,.565
Alex Caruso,11.3,28,/players/c/carusal01.html,33,815,182,107,112,61,15,62,166,75,.373,13,49,.265,45,.600
Julian Champagnie,13.4,21,/players/c/champju02.html,32,819,318,208,24,39,26,121,267,69,.453,24,77,.312,52,.754
Justin Champagnie,13.2,21,/players/c/champju01.html,33,1085,419,232,22,36,28,153,363,103,.421,33,126,.262,80,.777
